category,trigram,count,censored
Disciminatory,new mexico compound,8,new mexico compound
Disciminatory,kill kill kill,8,kill kill kill
Disciminatory,muslim new mexico,4,muslim new mexico
Disciminatory,sharia france devout,3,sharia france devout
Disciminatory,france devout muslim,3,france devout muslim
Disciminatory,devout muslim brutally,3,devout muslim brutally
Disciminatory,muslim brutally beat,3,muslim brutally beat
Disciminatory,brutally beat jewish,3,brutally beat jewish
Disciminatory,beat jewish woman,3,beat jewish woman
Disciminatory,jewish woman death,3,jewish woman death
NSFW,link bio anal,26,link bio @n@l
NSFW,signup link bio,13,signup link bio
NSFW,free link bio,11,free link bio
NSFW,free signup link,10,free signup link
NSFW,pussy come watch,8,p*ssy come watch
NSFW,follow link bio,8,follow link bio
NSFW,wet bouncing booty,8,wet bouncing b**ty
NSFW,horrible little sadiq,7,horrible little sadiq
NSFW,little sadiq khan,7,little sadiq khan
NSFW,one email away,6,one email away
No Abuse,stop foreign aid,3,stop foreign aid
No Abuse,britain leave eu,2,britain leave eu
No Abuse,british people voted,2,british people voted
No Abuse,jacob reesmogg rightly,2,jacob reesmogg rightly
No Abuse,deal walk away,2,deal walk away
No Abuse,well done tommy,2,well done tommy
No Abuse,theresa may jacob,2,theresa may jacob
No Abuse,may jacob reesmogg,2,may jacob reesmogg
No Abuse,year ago today,2,year ago today
No Abuse,people income spent,2,people income spent
Racism,horrible little muslim,4,horrible little muslim
Racism,monkey see monkey,4,monkey see monkey
Racism,little muslim mayor,3,little muslim mayor
Racism,never trust monkey,3,never trust monkey
Racism,never eat quranimal,2,never eat quranimal
Racism,eat quranimal unless,2,eat quranimal unless
Racism,quranimal unless want,2,quranimal unless want
Racism,unless want risk,2,unless want risk
Racism,want risk catching,2,want risk catching
Racism,risk catching hiv,2,risk catching hiv
Religion,profit muhammad pbuh,8,profit muhammad pbuh
Religion,please dont retweet,4,please dont retweet
Religion,left want video,3,left want video
Religion,show islam bad,3,show islam bad
Religion,left want removed,3,left want removed
Religion,practice sharia law,3,practice sharia law
Religion,uk christian country,2,uk christian country
Religion,people dont want,2,people dont want
Religion,want video taken,2,want video taken
Religion,video taken show,2,video taken show
