tweets,cleaned,cleaned_transform,labels,batch,transformed_tweets_groq,groq_transformed,transformed_tweets_gemini,gemini_transformed,transformed_tweets_gpt,gpt_transformed,transformed_tweets_deepseek,deepseek_transformed,before_hatebert_pred,after_hatebert_pred_groq,after_hatebert_pred_gemini,after_hatebert_pred_gpt4o,after_hatebert_pred_deepseek
b'If you bother to do the maths then in actual fact the so-called reformers of Islam have literally not one single mi\xe2\x80\xa6 https://t.co/DKnNAG01XQ',bother math actual fact socalled reformer islam literally one single mi,if you bother to do the maths then in actual fact the socalled reformers of islam have literally not one single mi,0,0,"""If you take the time to do the math, you'll find that the so-called 'reformers' of Islam have not significantly contributed to the religion's evolution.""",1,A mathematical analysis reveals that those claiming to reform Islam haven't achieved a single measurable positive outcome.,1,"""If you take the time to do the calculations, it appears that the so-called reformers of Islam seem to have had no measurable impact.""",1,"""If you take the time to analyze the data, it becomes clear that those referred to as reformers of Islam have not achieved a single significant milestone.""",1,1,1,1,1,1
"b'Muslims be like: The Quran is true, it says so in the Quran.'",muslim like quran true say quran,muslims be like the quran is true it says so in the quran,0,0,"""I'm fascinated by the Quran's teachings and the emphasis it places on its own authenticity. The scripture itself claims to be the word of God, what are your thoughts on this?""",1,Some Muslims express their faith by citing the Quran as evidence for its truth.,1,"""Some Muslims believe that the Quran is true because the Quran itself states its truth.""",1,"""Some Muslims believe the Quran is true because it is stated within the Quran itself.""",1,1,1,1,1,1
That painting by Jim Carrey of Sharia Huckabaloney is a spittin' image of her. A person who daily dishes out balone\u2026 https://t.co/k4coN,painting jim carrey sharia huckabaloney spittin image person daily dish balone,that painting by jim carrey of sharia huckabaloney is a spittin image of her a person who daily dishes out balone,0,0,"""I'm struck by Jim Carrey's depiction of Sharie Huckstep's likeness in his painting. Her consistent commitment to her work is truly remarkable.""",1,I find Jim Carrey's painting to be a striking resemblance of Shari Huckabee.  I think it captures her essence well.,1,"""That painting by Jim Carrey captures a striking resemblance to Sarah Huckabee, a person known for frequently sharing questionable statements.""",1,"""Jim Carrey's painting of Sharia Huckabee is a striking resemblance to her, capturing her unique personality and style.""",1,1,1,1,1,1
"b""So I say.. fck Islam it should be banned in the UK as it goes against all our beliefs it's against women's rights a\xe2\x80\xa6 https://t.co/uXeD1iFyyZ""",say fck islam banned uk go belief womens right,so i say fck islam it should be banned in the uk as it goes against all our beliefs its against womens rights a,0,0,"""I believe Islamic laws and beliefs often clash with human rights and values. Let's have a respectful conversation about creating a society where all individuals, including women, are treated with dignity and equality. It's essential to address and reform any harmful practices, rather than blanketly banning religious beliefs.""",1,"I believe that certain Islamic practices conflict with British values and women's rights, and I question whether its presence in the UK is beneficial.",1,"""I believe there should be a discussion about how some practices within Islam align with UK values, particularly regarding women's rights.""",1,"""I believe Islam should not be practiced in the UK as I feel it conflicts with many of our values and raises concerns about women's rights.""",1,1,1,1,1,1
"b""Theresa May has her head so far up the Muslamic ass that she doesn't need a sun tan.\nA YouTube comment I just read.""",theresa may head far muslamic as doesnt need sun tan youtube comment read,theresa may has her head so far up the muslamic ass that she doesnt need a sun tan youtube comment i just read,0,0,"""Concerned about PM Theresa May's response to Islamic issues. Wondering if her views are informed by influential voices online, rather than fact-based information.""",1,I strongly disagree with Theresa May's policies.,1,"""Theresa May seems to have strong alignment with the Muslim community as observed in a YouTube comment I just read.""",1,"""Theresa May seems to be very supportive of the Muslim community, to the point where it's been noted in various discussions, including a YouTube comment I recently came across.""",1,1,1,1,1,1
b'RT @RealitySmash: A new Muslamic dating app has been launched. https://t.co/hMxj5OcXK7',new muslamic dating app launched,a new muslamic dating app has been launched,0,0,"""Exciting to see a new dating app designed for the Muslim community!""",1,A new Muslim dating app has been released.,1,"""A new Muslim dating app has been launched.""",1,"""A new Islamic dating app has been launched.""",1,1,1,1,1,1
"b""RT @RealitySmash: It's not racist to criticise the teachings of Islam.\nSorry to burst your bubble again. https://t.co/tq7oulcw5T""",racist criticise teaching islam burst bubble,its not racist to criticise the teachings of islam to burst your bubble again,0,0,"""It's important to critically evaluate the teachings of any religion, including Islam, to ensure that they align with our values of inclusivity and respect. Let's have an open and respectful dialogue about these critical issues.""",1,Critiquing Islamic teachings is not inherently racist.,1,"""It's important to have open discussions about the teachings of Islam.""",1,"""It's not racist to respectfully critique the teachings of Islam, but it's important to approach such discussions with understanding and respect.""",1,1,1,1,1,1
"@FoxBusiness I like it when the fox calling her \u201csharia law advocate\u201d Fox News is sooo foxy."", ""truncated"": false, ""entities"": {""h",like fox calling law advocate fox news sooo foxy,i like it when the fox calling her law advocate fox news is sooo foxy,0,0,"""I appreciate the emphasis on 'Foxy' in the name 'Fox News'! It's a clever play on words.""",1,I appreciate how Fox News' legal representatives contribute to their reporting.,1,"""I find it interesting when the fox refers to her legal advocate as Fox News; it's quite clever.""",1,"""I appreciate the clever wordplay when Fox News refers to their legal advocate as 'foxy'-it's quite witty!""",1,1,1,1,1,1
"@charliekirk11 Or ever organize a protest against sharia"", ""truncated"": false, ""entities"": {""hashtags"": [], ""symbols"": [], ""user_mentions"": ",ever organize protest sharia,or ever organize a protest against sharia,0,0,"""I'm concerned about human rights and social justice, and I believe it's important to encourage respectful dialogue and peaceful resolutions to conflicts. It's crucial to promote inclusivity and understanding, regardless of religious or cultural beliefs. #humanrights #peacefulcoexistence""",1,I'm concerned about the potential impact of Sharia law.,1,"""consider organizing a demonstration to discuss concerns regarding sharia laws""",1,"""or ever organize a peaceful demonstration to express concerns about sharia.""",1,1,1,1,1,1
b'My favorite word in the English language is \xe2\x80\x9cAmen\xe2\x80\x9d because when I hear it I know you\xe2\x80\x99re finally done asking Me for stupid shit.',favorite word english language hear know finally done asking stupid shit,my favorite word in the english language is because when i hear it i know you finally done asking me for stupid shit,0,0,"""My favorite word in the English language is 'because' - it's a great relief when I hear it, signaling that the unnecessary questions are finally over""",1,I appreciate it when people clearly communicate their needs; it helps me understand their requests more effectively.,1,"""My favorite word in the English language is 'because'. It signals the end of requests and the start of understanding.""",1,"""My favorite word in the English language is 'because'-it often signals the end of a request I find unnecessary or unhelpful.""",1,1,1,1,1,1
RT @PeterSweden7: It has finally happened.\n\nA Swedish court has followed Sharia law.\n\nThey freed a man in domestic assault case because ,finally happened swedish court followed sharia law freed man domestic assault case,it has finally happened swedish court has followed sharia law freed a man in domestic assault case because,0,0,"""I'm shocked to hear that a Swedish court has ruled in favor of a man accused of domestic assault. As a society, we must ensure that victims of domestic violence have access to justice and support. This decision may have implications for how we address and prevent domestic violence. Let's work towards creating a safer, more just world for all.""",1,A Swedish court's recent decision to release a man accused of domestic assault has raised concerns about the legal process involved.,1,"""It has been reported that a Swedish court has made a decision in a domestic assault case that some may find controversial, as it aligns with certain interpretations of law.""",1,"""The Swedish court has made a controversial decision by releasing a man involved in a domestic assault case, citing reasons that have sparked debate.""",1,1,1,1,1,1
"b""RT @RealitySmash: This is why you don't trust a muzzer. https://t.co/3zCk0wVrw2""",dont trust muzzer,this is why you dont trust a muzzer,0,0,"""This is why it's essential to have open and honest dialogue to combat stereotypes and promote understanding between cultures""",1,"I've had a negative experience with someone from that background, and it's made me more cautious.",1,"""This is why it's important to be cautious.""",1,"""This is why it's important to be cautious and thoughtful when placing trust in others.""",1,1,1,1,1,1
b'Why I Draw Muhammad https://t.co/E76SoEjxNz https://t.co/77TD9aE4Cr',draw muhammad,why i draw muhammad,0,0,"""I'm curious about the inspiration behind drawing different religious figures, including Muhammad. Can anyone share some interesting insights or stories?""",1,My reasons for depicting Muhammad in my artwork.,1,"""I would like to share my artistic expression of Muhammad.""",1,"""Why I chose to depict Muhammad in my artwork""",1,1,1,1,1,1
