user,tweets,labels,follows,cleaned,cleaned_transform,bigram,trigram
user1,"b""@theresa_may U are a complete bitch an a sell out what part of no deal don't u understand ? All u are doing is rena\xe2\x80\xa6 https://t.co/AmWXRkljOX""",1,following1,u complete bitch sell part deal dont u understand u rena,u are a complete bitch an a sell out what part of no deal dont u understand all u are doing is rena,"[('u', 'complete'), ('complete', 'bitch'), ('bitch', 'sell'), ('sell', 'part'), ('part', 'deal'), ('deal', 'dont'), ('dont', 'u'), ('u', 'understand'), ('understand', 'u'), ('u', 'rena')]","[('u', 'complete', 'bitch'), ('complete', 'bitch', 'sell'), ('bitch', 'sell', 'part'), ('sell', 'part', 'deal'), ('part', 'deal', 'dont'), ('deal', 'dont', 'u'), ('dont', 'u', 'understand'), ('u', 'understand', 'u'), ('understand', 'u', 'rena')]"
user1,"b'RT @NadineDorries: So, it\xe2\x80\x99s true. Barnier and EU pushing us to no deal. It\xe2\x80\x99s not Leavers who want this, it\xe2\x80\x99s the EU. \n\nEveryone may as well\xe2\x80\xa6'",4,following1,true barnier eu pushing u deal leaver want eu may well,so it true barnier and eu pushing us to no deal it not leavers who want this it the eu may as well,"[('true', 'barnier'), ('barnier', 'eu'), ('eu', 'pushing'), ('pushing', 'u'), ('u', 'deal'), ('deal', 'leaver'), ('leaver', 'want'), ('want', 'eu'), ('eu', 'may'), ('may', 'well')]","[('true', 'barnier', 'eu'), ('barnier', 'eu', 'pushing'), ('eu', 'pushing', 'u'), ('pushing', 'u', 'deal'), ('u', 'deal', 'leaver'), ('deal', 'leaver', 'want'), ('leaver', 'want', 'eu'), ('want', 'eu', 'may'), ('eu', 'may', 'well')]"
user1,"b""@theresa_may @10DowningStreet Why do u never celebrate st George's day?? An why didn't u cover the 100th anniversar\xe2\x80\xa6 https://t.co/vZZ0N5sXVg""",4,following1,u never celebrate st george day didnt u cover 100th anniversar,why do u never celebrate st georges day an why didnt u cover the 100th anniversar,"[('u', 'never'), ('never', 'celebrate'), ('celebrate', 'st'), ('st', 'george'), ('george', 'day'), ('day', 'didnt'), ('didnt', 'u'), ('u', 'cover'), ('cover', '100th'), ('100th', 'anniversar')]","[('u', 'never', 'celebrate'), ('never', 'celebrate', 'st'), ('celebrate', 'st', 'george'), ('st', 'george', 'day'), ('george', 'day', 'didnt'), ('day', 'didnt', 'u'), ('didnt', 'u', 'cover'), ('u', 'cover', '100th'), ('cover', '100th', 'anniversar')]"
user1,"b""@Anna_Soubry @theresa_may @sarahwollaston @BBCr4today Fuck off what bit about leave don't u understand ??""",1,following1,fuck bit leave dont u understand,fuck off what bit about leave dont u understand,"[('fuck', 'bit'), ('bit', 'leave'), ('leave', 'dont'), ('dont', 'u'), ('u', 'understand')]","[('fuck', 'bit', 'leave'), ('bit', 'leave', 'dont'), ('leave', 'dont', 'u'), ('dont', 'u', 'understand')]"
user1,"b'RT @RealitySmash: The left want this video of Muslims doing some peaceful muslimming in Sheffield, UK removed because it shows Islam in a b\xe2\x80\xa6'",0,following1,left want video muslim peaceful muslimming sheffield uk removed show islam b,the left want this video of muslims doing some peaceful muslimming in sheffield uk removed because it shows islam in a b,"[('left', 'want'), ('want', 'video'), ('video', 'muslim'), ('muslim', 'peaceful'), ('peaceful', 'muslimming'), ('muslimming', 'sheffield'), ('sheffield', 'uk'), ('uk', 'removed'), ('removed', 'show'), ('show', 'islam'), ('islam', 'b')]","[('left', 'want', 'video'), ('want', 'video', 'muslim'), ('video', 'muslim', 'peaceful'), ('muslim', 'peaceful', 'muslimming'), ('peaceful', 'muslimming', 'sheffield'), ('muslimming', 'sheffield', 'uk'), ('sheffield', 'uk', 'removed'), ('uk', 'removed', 'show'), ('removed', 'show', 'islam'), ('show', 'islam', 'b')]"
user1,b'@theresa_may Free Tommy Robinson now u an ur government are a shame to our people stop the grooming gangs get the m\xe2\x80\xa6 https://t.co/725b2BwFwx',1,following1,free tommy robinson u ur government shame people stop grooming gang get,free tommy robinson now u an ur government are a shame to our people stop the grooming gangs get the m,"[('free', 'tommy'), ('tommy', 'robinson'), ('robinson', 'u'), ('u', 'ur'), ('ur', 'government'), ('government', 'shame'), ('shame', 'people'), ('people', 'stop'), ('stop', 'grooming'), ('grooming', 'gang'), ('gang', 'get')]","[('free', 'tommy', 'robinson'), ('tommy', 'robinson', 'u'), ('robinson', 'u', 'ur'), ('u', 'ur', 'government'), ('ur', 'government', 'shame'), ('government', 'shame', 'people'), ('shame', 'people', 'stop'), ('people', 'stop', 'grooming'), ('stop', 'grooming', 'gang'), ('grooming', 'gang', 'get')]"
user1,"b'RT @AMike4761: Muslim refugees to the British people \xe2\x80\x9cwe do not accept British laws, you adopt our Sharia Laws\xe2\x80\x9d!  The longer we take to dea\xe2\x80\xa6'",0,following1,muslim refugee british people accept british law adopt sharia law longer take dea,muslim refugees to the british people do not accept british laws you adopt our sharia laws the longer we take to dea,"[('muslim', 'refugee'), ('refugee', 'british'), ('british', 'people'), ('people', 'accept'), ('accept', 'british'), ('british', 'law'), ('law', 'adopt'), ('adopt', 'sharia'), ('sharia', 'law'), ('law', 'longer'), ('longer', 'take'), ('take', 'dea')]","[('muslim', 'refugee', 'british'), ('refugee', 'british', 'people'), ('british', 'people', 'accept'), ('people', 'accept', 'british'), ('accept', 'british', 'law'), ('british', 'law', 'adopt'), ('law', 'adopt', 'sharia'), ('adopt', 'sharia', 'law'), ('sharia', 'law', 'longer'), ('law', 'longer', 'take'), ('longer', 'take', 'dea')]"
user1,b'@Gareth91882603 Absolutely shocking',4,following1,absolutely shocking,absolutely shocking,"[('absolutely', 'shocking')]",[]
user1,"b""RT @Gareth91882603: CPS in Telford tell Fathers there won't be any action against Pakistani Rape Gangs who  Groomed /Raped his Daughter at\xe2\x80\xa6""",2,following1,cps telford tell father wont action pakistani rape gang groomed raped daughter,cps in telford tell fathers there wont be any action against pakistani rape gangs who groomed raped his daughter at,"[('cps', 'telford'), ('telford', 'tell'), ('tell', 'father'), ('father', 'wont'), ('wont', 'action'), ('action', 'pakistani'), ('pakistani', 'rape'), ('rape', 'gang'), ('gang', 'groomed'), ('groomed', 'raped'), ('raped', 'daughter')]","[('cps', 'telford', 'tell'), ('telford', 'tell', 'father'), ('tell', 'father', 'wont'), ('father', 'wont', 'action'), ('wont', 'action', 'pakistani'), ('action', 'pakistani', 'rape'), ('pakistani', 'rape', 'gang'), ('rape', 'gang', 'groomed'), ('gang', 'groomed', 'raped'), ('groomed', 'raped', 'daughter')]"
user1,b'@2tweetaboutit Fucking scum',1,following1,fucking scum,fucking scum,"[('fucking', 'scum')]",[]
