clean_reviews,y,pred_label
well ridiculous fact suspect calton please block dont care,1,1
orangemike time move collateral target suggest userfisherqueen girl protected,0,0
window phone upgradeability hi gregory reverted change window phone article neither microsoft partner made official statement whether device running window phone upgradeable window phone reference given another user blog relying hearsay,0,0
btw whatever decision adminstration wish take remember block harsh given first violation since joined wikipedia,0,0
tried objective possible treat author head someone first tongue english think davy borderline notable article spent hour googling davy earlier today found nothing except translated lot stuff well done lot stuff life even borderline notable small field nothing warrant article especially one precisley nothing link like one frankly hope author make notable respond gentlemanly politesse cant help,0,0
shiny thing brilliant idea barnstar actively seeking every possible way help user especially honestly think would work hereby award c,0,0
make change engineering article,0,0
thanks apologize comment would like know understand position nov utc,0,0
appearance historical fiction young richard steele appears character william makepeace thackeray novel henry esmond appropriate mention article yall reckon,0,0
cu scibaby wasting time cuing scibaby account wpduck indef blocking sight cu request make reference politics know talk,0,1
per wpae blocked indefinitely persistent disruption project including vandalism disruptive editing sock puppetry per wikipediarequests arbitrationmacedoniadiscretionary sanction believe block unjustified please request one normal manner talk,0,1
sure worked article arcayne would fine two seem problem seek edit xenotalk,0,0
fuck fuck award go fuck,1,1
sorry edit conflict glad able salvage edits question structuring yes think think way divide article section subsection also intro may need fleshing confronting reader technical term like dendrite axon look smithfarm apr utc cool happy hear still article also research extend talk contr apr utc,0,0
february utc comment proposal change something someone added requested move banner section clearly one,0,0
best clan runescape gladiatorz best clan r year clan british elite damage inc average clan,0,0
even know begin replying talk,0,0
please vandalize page edit hyperopia continue blocked editing fisto,0,1
keep eye one care ok people put want clean want one care god freakin stupid omnigan,1,1
episode list keep episode list reference,0,0
next hour,0,0
rant presently witnessing open war croatian dinaric culture croatian left often portrays culture primitive rural even fashist service conservative hdz party croatian writer predrag raos instance performed gusle instrument zagreb several occasion year one intention ridicule instrument rich poetic tradition another apostle croatian left miljenko jergovi refers political opponent right gusle player even claim serbian origin croatian dinaric culture following line traditional greater serbian propagabda tokavian people culture serbian however croatian dinaric folklore rich gusle heritage primarly croatian dalmatian costal region historically associated culture example first written document popular folk hero traditional gusle music marko kraljevi associated dalmatian island hvar petar hektorovi book ribanje ribarsko prigovaranje also first historical document mentioned gusle player instrument originated dubrovnik even contemporary croatian writer born dubrovnik stijepo mijovi ko tell u story uncle also dubrovnik area could memorize numerous gusle song stijepo mijovi ko gusle glasnik may p dubrovnik also home anica begin born kalafatovi daughter famous gusle player ante although illiterate able recite heart immense number gusle song recorded antology croatian folk poetry far dubrovnik another coastal city makarska also bastion croatian gusle music actually region could considered capital croatian gusle player mediterranean area also gave birth andrija ka mio th century catholic priest viewed father gusle player croatia beyond honour ka work ivan trovi famous croatian sculptor built sculpture america showing ka priestly clothes playing gusle instrument addition ka makarska littoral produced great many follower croatian gusle music according dr fra karlo juri quote work croatian folklorist stipan banovi zaostrog alone produced great number gusle player starting stipan kosovi kudri culminating known mate banovi trli dalmatian woman play gusle considered male activity yet actively involved spreading gusle music imitating sound olinko delorko researcher dalmatian folk poetry state book ljuba ivanova dalmatian folk poetry collection obtained woman especially one island hvar zadar littoral also witnessed strong gusle tradition english writer maude holbach travelling zadar region first decade th century state book dalmatia land east meet west gusle national instrument region dinaric dance took place market certain festival picturesque interesting worth going long way see survival ancient custom probably unique europe p admiration dinaric folk music particularly gusle seen dalmatian litteral hinterland matija murko researcher literarymusic form reported trip dalmatia saw child barely three year old playing gusle eduard osrede ki hrvatske narodne juna ke pjesme eljeznobe p let take look name dalmatian sport club organization hajduk junak gusar alkar uskok sinjska alka etc common course name refer heroic gusle tradition region mind one wonder proud croatian heritage become almost extinct gusle player today result unavoidable urbanization modern croatian society peasant culture considered inferior global rock n roll culture tamburitza music northern croatia gained wide acceptance croatian establishment dinaric counterpart gusle music looked upon suspicion open hatre,0,0
total population million match e sum referenced populationsbelow infoboximages infobox,0,0
convicted felon,0,1
matt hardy fuckyitalic textmediaexampleoggmatt hardy fucky,1,1
